2025-07-06 15:36:54 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 154.0, 風向: 南南東
2025-07-06 15:36:55 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 154.0, 風向: 南南東
2025-07-06 15:37:25 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 169.9, 風向: 南
2025-07-06 15:37:26 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 169.9, 風向: 南
2025-07-06 15:37:56 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 175.0, 風向: 南
2025-07-06 15:37:57 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 175.0, 風向: 南
2025-07-06 15:38:28 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 124.9, 風向: 東南
2025-07-06 15:38:28 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 124.9, 風向: 東南
2025-07-06 15:38:59 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 166.8, 風向: 南南東
2025-07-06 15:38:59 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 166.8, 風向: 南南東
2025-07-06 15:39:30 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 105.6, 風向: 東南東
2025-07-06 15:39:31 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 105.6, 風向: 東南東
2025-07-06 15:40:01 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 164.8, 風向: 南南東
2025-07-06 15:40:02 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 164.8, 風向: 南南東
2025-07-06 15:40:32 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 223.4, 風向: 西南
2025-07-06 15:40:33 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 223.4, 風向: 西南
2025-07-06 15:41:04 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 97.9, 風向: 東
2025-07-06 15:41:04 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 97.9, 風向: 東
2025-07-06 15:41:35 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 359.1, 風向: 北
2025-07-06 15:41:35 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 359.1, 風向: 北
2025-07-06 15:42:06 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 96.4, 風向: 東
2025-07-06 15:42:07 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 96.4, 風向: 東
2025-07-06 15:42:37 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 119.0, 風向: 東南東
2025-07-06 15:42:38 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 160.8, 風向: 南南東
2025-07-06 15:43:08 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 177.8, 風向: 南
2025-07-06 15:43:09 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 177.8, 風向: 南
2025-07-06 15:43:40 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 263.6, 風向: 西
2025-07-06 15:43:40 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 263.6, 風向: 西
2025-07-06 15:44:11 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 81.8, 風向: 東
2025-07-06 15:44:11 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 81.8, 風向: 東
2025-07-06 15:44:42 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 154.6, 風向: 南南東
2025-07-06 15:44:43 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 154.6, 風向: 南南東
2025-07-06 15:45:13 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 39.1, 風向: 東北
2025-07-06 15:45:14 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 39.1, 風向: 東北
2025-07-06 15:45:44 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 100.2, 風向: 東
2025-07-06 15:45:45 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 100.2, 風向: 東
2025-07-06 15:46:16 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 84.6, 風向: 東
2025-07-06 15:46:16 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 84.6, 風向: 東
2025-07-06 15:46:47 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 31.0, 風向: 北北東
2025-07-06 15:46:47 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 31.0, 風向: 北北東
2025-07-06 15:47:18 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 247.9, 風向: 西南西
2025-07-06 15:47:19 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 247.9, 風向: 西南西
2025-07-06 15:47:49 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 346.3, 風向: 北北西
2025-07-06 15:47:50 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 346.3, 風向: 北北西
2025-07-06 15:48:20 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 155.9, 風向: 南南東
2025-07-06 15:48:21 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 155.9, 風向: 南南東
2025-07-06 15:48:52 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 163.5, 風向: 南南東
2025-07-06 15:48:52 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 163.5, 風向: 南南東
2025-07-06 15:49:23 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 203.9, 風向: 南南西
2025-07-06 15:49:23 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 203.9, 風向: 南南西
2025-07-06 15:49:54 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 87.8, 風向: 東
2025-07-06 15:49:55 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 144.6, 風向: 東南
2025-07-06 15:50:25 - ModbusReader - INFO - 風速: 0.4 m/s, 風級: 1, 風向角度: 118.4, 風向: 東南東
2025-07-06 15:50:26 - ModbusReader - INFO - 風速: 0.4 m/s, 風級: 1, 風向角度: 118.4, 風向: 東南東
2025-07-06 15:50:56 - ModbusReader - INFO - 風速: 0.5 m/s, 風級: 1, 風向角度: 222.0, 風向: 西南
2025-07-06 15:50:57 - ModbusReader - INFO - 風速: 0.5 m/s, 風級: 1, 風向角度: 222.0, 風向: 西南
2025-07-06 15:51:28 - ModbusReader - INFO - 風速: 0.9 m/s, 風級: 1, 風向角度: 111.6, 風向: 東南東
2025-07-06 15:51:28 - ModbusReader - INFO - 風速: 0.9 m/s, 風級: 1, 風向角度: 111.6, 風向: 東南東
2025-07-06 15:51:59 - ModbusReader - INFO - 風速: 0.4 m/s, 風級: 1, 風向角度: 280.6, 風向: 西
2025-07-06 15:51:59 - ModbusReader - INFO - 風速: 0.4 m/s, 風級: 1, 風向角度: 280.6, 風向: 西
2025-07-06 15:52:30 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 312.7, 風向: 西北
2025-07-06 15:52:31 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 312.7, 風向: 西北
2025-07-06 15:53:01 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 181.2, 風向: 南
2025-07-06 15:53:02 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 181.2, 風向: 南
2025-07-06 15:53:32 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 204.9, 風向: 南南西
2025-07-06 15:53:33 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 204.9, 風向: 南南西
2025-07-06 15:54:04 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 237.4, 風向: 西南西
2025-07-06 15:54:04 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 237.4, 風向: 西南西
2025-07-06 15:54:35 - ModbusReader - INFO - 風速: 0.1 m/s, 風級: 0, 風向角度: 148.0, 風向: 南南東
